Li2O,SrO,Al2O3
0.105643288,0.64079458,0.253562132
0.371910286,0.451790784,0.176298929
0.298021702,0.600326985,0.101651313
0.242581887,0.306770058,0.450648055
0.165836103,0.421637397,0.4125265
0.105643288,0.64079458,0.253562132
0.24911956,0.576692814,0.174187625
0.141890729,0.469662631,0.38844664
0.169027131,0.304878418,0.526094451
0.181277362,0.320941622,0.497781016
0.467314476,0.172517651,0.360167873
0.123918459,0.295426849,0.580654692
0.166980069,0.48832442,0.344695511
0.141282047,0.551386467,0.307331486
0.192288804,0.573331242,0.234379954
0.219022415,0.556380006,0.224597579
0.124570471,0.59776634,0.277663189
0.09521146,0.59243729,0.31235125
0.194555967,0.33314895,0.472295083
0.204037194,0.563557264,0.232405542
0.162603082,0.497299185,0.340097733
0.234175641,0.3182651,0.447559258
0.092665532,0.447173263,0.460161205
0.200079631,0.673213438,0.126706931
0.133455011,0.453620192,0.412924797
0.249262143,0.587318563,0.163419294
0.285939216,0.287188807,0.426871977
0.301118088,0.448973747,0.249908165
0.280444297,0.145811434,0.573744269
0.188516411,0.187907736,0.623575853
0.249892838,0.129320965,0.620786198
0.105057294,0.495885676,0.39905703
0.207,0.159,0.634
0.327496778,0.454549579,0.217953643
0.275274964,0.163204481,0.561520555
0.150595146,0.41770554,0.431699315
0.277067066,0.163355044,0.559577889
0.241070095,0.652764506,0.106165399
0.152429133,0.664834801,0.182736065
0.296882095,0.46895421,0.234163695
0.108151821,0.434943783,0.456904396
0.408791308,0.215913516,0.375295177
0.209915454,0.29848296,0.491601587
0.08141595,0.656082739,0.262501311
0.186532732,0.284013126,0.529454143
0.303666554,0.269862163,0.426471284
0.075800535,0.618694431,0.305505034
0.170387071,0.441279636,0.388333294
0.313387421,0.535269797,0.151342781
0.081150826,0.452712849,0.466136325
